ch,freq_mhz,rpd_occupancy,wifi_penalty,score,in_ism
0,2400,0.0000,0.0,0.0000,1
1,2401,0.0000,0.0,0.0000,1
2,2402,0.0000,0.0,0.0000,1
3,2403,0.0000,0.0,0.0000,1
4,2404,0.0000,0.0,0.0000,1
5,2405,0.0000,0.0,0.0000,1
6,2406,0.0000,0.0,0.0000,1
7,2407,0.0000,0.0,0.0000,1
8,2408,0.0000,0.0,0.0000,1
9,2409,0.0000,0.0,0.0000,1
10,2410,0.0000,0.0,0.0000,1
11,2411,0.0000,0.0,0.0000,1
12,2412,0.0000,0.0,0.0000,1
13,2413,0.0000,0.0,0.0000,1
14,2414,0.0000,0.0,0.0000,1
15,2415,0.0000,0.3,0.0097,1
16,2416,0.0000,1.1,0.0330,1
17,2417,0.0000,1.9,0.0563,1
18,2418,0.0000,2.2,0.0660,1
19,2419,0.0000,2.2,0.0660,1
20,2420,0.0000,2.2,0.0660,1
21,2421,0.0000,2.2,0.0660,1
22,2422,0.0000,2.2,0.0660,1
23,2423,0.0000,2.2,0.0660,1
24,2424,0.0000,2.2,0.0660,1
25,2425,0.0000,4.4,0.1296,1
26,2426,0.0000,9.6,0.2830,1
27,2427,0.0000,14.8,0.4364,1
28,2428,0.0000,17.0,0.5000,1
29,2429,0.0000,17.0,0.5000,1
30,2430,0.0000,17.0,0.5000,1
31,2431,0.0000,17.0,0.5000,1
32,2432,0.0000,17.0,0.5000,1
33,2433,0.0000,17.0,0.5000,1
34,2434,0.0000,17.0,0.5000,1
35,2435,0.0000,17.0,0.5000,1
36,2436,0.0000,17.0,0.5000,1
37,2437,0.0000,16.6,0.4903,1
38,2438,0.0000,15.8,0.4670,1
39,2439,0.0000,15.0,0.4437,1
40,2440,0.0000,14.7,0.4340,1
41,2441,0.0000,14.7,0.4340,1
42,2442,0.0000,14.7,0.4340,1
43,2443,0.0000,14.7,0.4340,1
44,2444,0.0000,14.7,0.4340,1
45,2445,0.0000,14.7,0.4340,1
46,2446,0.0000,14.7,0.4340,1
47,2447,0.0000,12.6,0.3704,1
48,2448,0.0000,7.4,0.2170,1
49,2449,0.0000,2.2,0.0636,1
50,2450,0.0000,0.0,0.0000,1
51,2451,0.0000,0.0,0.0000,1
52,2452,0.0000,0.0,0.0000,1
53,2453,0.0000,0.0,0.0000,1
54,2454,0.0000,0.0,0.0000,1
55,2455,0.0000,0.0,0.0000,1
56,2456,0.0000,0.0,0.0000,1
57,2457,0.0000,0.0,0.0000,1
58,2458,0.0000,0.0,0.0000,1
59,2459,0.0000,0.0,0.0000,1
60,2460,0.0000,0.0,0.0000,1
61,2461,0.0000,0.0,0.0000,1
62,2462,0.0000,0.0,0.0000,1
63,2463,0.0000,0.0,0.0000,1
64,2464,0.0000,0.0,0.0000,1
65,2465,0.0000,0.0,0.0000,1
66,2466,0.0000,0.0,0.0000,1
67,2467,0.0000,0.0,0.0000,1
68,2468,0.0000,0.0,0.0000,1
69,2469,0.0000,0.0,0.0000,1
70,2470,0.0000,0.0,0.0000,1
71,2471,0.0000,0.0,0.0000,1
72,2472,0.0000,0.0,0.0000,1
73,2473,0.0000,0.0,0.0000,1
74,2474,0.0000,0.0,0.0000,1
75,2475,0.0000,0.0,0.0000,1
76,2476,0.0000,0.0,0.0000,1
77,2477,0.0000,0.0,0.0000,1
78,2478,0.0000,0.0,0.0000,1
79,2479,0.0000,0.0,0.0000,1
80,2480,0.0000,0.0,0.0000,1
81,2481,0.0000,0.0,0.0000,1
82,2482,0.0000,0.0,0.0000,0
83,2483,0.0000,0.0,0.0000,0
84,2484,0.0000,0.0,0.0000,0
85,2485,0.0000,0.0,0.0000,0
86,2486,0.0000,0.0,0.0000,0
87,2487,0.0000,0.0,0.0000,0
88,2488,0.0000,0.0,0.0000,0
89,2489,0.0000,0.0,0.0000,0
90,2490,0.0000,0.0,0.0000,0
91,2491,0.0000,0.0,0.0000,0
92,2492,0.0000,0.0,0.0000,0
93,2493,0.0000,0.0,0.0000,0
94,2494,0.0000,0.0,0.0000,0
95,2495,0.0000,0.0,0.0000,0
96,2496,0.0000,0.0,0.0000,0
97,2497,0.0000,0.0,0.0000,0
98,2498,0.0000,0.0,0.0000,0
99,2499,0.0000,0.0,0.0000,0
100,2500,0.0000,0.0,0.0000,0
101,2501,0.0000,0.0,0.0000,0
102,2502,0.0000,0.0,0.0000,0
103,2503,0.0000,0.0,0.0000,0
104,2504,0.0000,0.0,0.0000,0
105,2505,0.0000,0.0,0.0000,0
106,2506,0.0000,0.0,0.0000,0
107,2507,0.0000,0.0,0.0000,0
108,2508,0.0000,0.0,0.0000,0
109,2509,0.0000,0.0,0.0000,0
110,2510,0.0000,0.0,0.0000,0
111,2511,0.0000,0.0,0.0000,0
112,2512,0.0000,0.0,0.0000,0
113,2513,0.0000,0.0,0.0000,0
114,2514,0.0000,0.0,0.0000,0
115,2515,0.0000,0.0,0.0000,0
116,2516,0.0000,0.0,0.0000,0
117,2517,0.0000,0.0,0.0000,0
118,2518,0.0000,0.0,0.0000,0
119,2519,0.0000,0.0,0.0000,0
120,2520,0.0000,0.0,0.0000,0
121,2521,0.0000,0.0,0.0000,0
122,2522,0.0000,0.0,0.0000,0
123,2523,0.0000,0.0,0.0000,0
124,2524,0.0000,0.0,0.0000,0
125,2525,0.0000,0.0,0.0000,0
