ch,freq_mhz,rpd_occupancy,wifi_penalty,score,in_ism
0,2400,0.0000,0.3,0.0004,1
1,2401,0.0100,1.0,0.0062,1
2,2402,0.0050,1.7,0.0046,1
3,2403,0.0000,2.0,0.0025,1
4,2404,0.0050,2.0,0.0050,1
5,2405,0.0000,2.4,0.0030,1
6,2406,0.0000,3.3,0.0041,1
7,2407,0.0000,4.1,0.0052,1
8,2408,0.0000,4.5,0.0056,1
9,2409,0.0000,4.5,0.0056,1
10,2410,0.0000,4.5,0.0056,1
11,2411,0.0000,4.5,0.0056,1
12,2412,0.0000,4.5,0.0056,1
13,2413,0.0000,4.5,0.0056,1
14,2414,0.0000,4.5,0.0056,1
15,2415,0.0000,5.8,0.0073,1
16,2416,0.0000,8.9,0.0112,1
17,2417,0.0000,12.1,0.0151,1
18,2418,0.0000,13.4,0.0168,1
19,2419,0.0000,13.4,0.0168,1
20,2420,0.0000,13.4,0.0168,1
21,2421,0.0000,13.4,0.0168,1
22,2422,0.0000,13.1,0.0164,1
23,2423,0.0000,12.4,0.0155,1
24,2424,0.0000,11.7,0.0146,1
25,2425,0.0050,15.4,0.0218,1
26,2426,0.0100,25.2,0.0366,1
27,2427,0.0000,34.6,0.0434,1
28,2428,0.0100,37.8,0.0523,1
29,2429,0.0000,36.9,0.0462,1
30,2430,0.0000,36.8,0.0461,1
31,2431,0.0000,37.5,0.0470,1
32,2432,0.0000,38.2,0.0479,1
33,2433,0.0000,38.5,0.0482,1
34,2434,0.0000,38.5,0.0482,1
35,2435,0.0000,38.5,0.0482,1
36,2436,0.0000,38.5,0.0482,1
37,2437,0.0000,37.2,0.0466,1
38,2438,0.0000,34.1,0.0427,1
39,2439,0.0000,30.9,0.0387,1
40,2440,0.0000,29.6,0.0371,1
41,2441,0.0000,29.6,0.0371,1
42,2442,0.0000,29.6,0.0371,1
43,2443,0.0050,29.6,0.0396,1
44,2444,0.0000,29.6,0.0371,1
45,2445,0.0000,29.6,0.0371,1
46,2446,0.0000,29.6,0.0371,1
47,2447,0.0000,25.6,0.0320,1
48,2448,0.0000,15.8,0.0198,1
49,2449,0.0000,6.0,0.0076,1
50,2450,0.0000,60.1,0.0753,1
51,2451,0.0000,200.4,0.2511,1
52,2452,0.0000,340.5,0.4265,1
53,2453,0.0000,397.9,0.4984,1
54,2454,0.0050,397.2,0.5001,1
55,2455,0.0000,396.9,0.4972,1
56,2456,0.0000,396.9,0.4972,1
57,2457,0.0500,396.9,0.5222,1
58,2458,0.0500,396.9,0.5222,1
59,2459,0.0550,396.9,0.5247,1
60,2460,0.0550,397.2,0.5251,1
61,2461,0.0550,398.0,0.5261,1
62,2462,0.0550,398.8,0.5271,1
63,2463,0.0550,399.1,0.5275,1
64,2464,0.0500,399.1,0.5250,1
65,2465,0.0250,399.1,0.5125,1
66,2466,0.0050,399.1,0.5025,1
67,2467,0.0000,399.1,0.5000,1
68,2468,0.0000,399.1,0.5000,1
69,2469,0.0000,399.1,0.5000,1
70,2470,0.0000,399.1,0.5000,1
71,2471,0.0000,399.1,0.5000,1
72,2472,0.0000,341.0,0.4272,1
73,2473,0.0000,200.7,0.2514,1
74,2474,0.0000,60.4,0.0756,1
75,2475,0.0000,2.2,0.0028,1
76,2476,0.0000,2.2,0.0028,1
77,2477,0.0000,2.2,0.0028,1
78,2478,0.0000,2.2,0.0028,1
79,2479,0.0250,2.2,0.0153,1
80,2480,0.0200,2.2,0.0128,1
81,2481,0.0000,2.2,0.0028,1
82,2482,0.0150,1.9,0.0099,0
83,2483,0.0000,1.1,0.0014,0
84,2484,0.0000,0.3,0.0004,0
85,2485,0.0000,0.0,0.0000,0
86,2486,0.0000,0.0,0.0000,0
87,2487,0.0000,0.0,0.0000,0
88,2488,0.0000,0.0,0.0000,0
89,2489,0.0000,0.0,0.0000,0
90,2490,0.0000,0.0,0.0000,0
91,2491,0.0000,0.0,0.0000,0
92,2492,0.0000,0.0,0.0000,0
93,2493,0.0000,0.0,0.0000,0
94,2494,0.0000,0.0,0.0000,0
95,2495,0.0000,0.0,0.0000,0
96,2496,0.0000,0.0,0.0000,0
97,2497,0.0000,0.0,0.0000,0
98,2498,0.0000,0.0,0.0000,0
99,2499,0.0000,0.0,0.0000,0
100,2500,0.0000,0.0,0.0000,0
101,2501,0.0000,0.0,0.0000,0
102,2502,0.0000,0.0,0.0000,0
103,2503,0.0000,0.0,0.0000,0
104,2504,0.0000,0.0,0.0000,0
105,2505,0.0000,0.0,0.0000,0
106,2506,0.0000,0.0,0.0000,0
107,2507,0.0000,0.0,0.0000,0
108,2508,0.0000,0.0,0.0000,0
109,2509,0.0000,0.0,0.0000,0
110,2510,0.0000,0.0,0.0000,0
111,2511,0.0000,0.0,0.0000,0
112,2512,0.0000,0.0,0.0000,0
113,2513,0.0000,0.0,0.0000,0
114,2514,0.0000,0.0,0.0000,0
115,2515,0.0000,0.0,0.0000,0
116,2516,0.0000,0.0,0.0000,0
117,2517,0.0000,0.0,0.0000,0
118,2518,0.0000,0.0,0.0000,0
119,2519,0.0000,0.0,0.0000,0
120,2520,0.0000,0.0,0.0000,0
121,2521,0.0000,0.0,0.0000,0
122,2522,0.0000,0.0,0.0000,0
123,2523,0.0000,0.0,0.0000,0
124,2524,0.0000,0.0,0.0000,0
125,2525,0.0000,0.0,0.0000,0
